,CUID,Species,Year,LGL counts,NuSEDS counts by CU,Total run
6562,565,Lake Sockeye,2006,5000,2500,6109
6678,565,Lake Sockeye,2007,7800,3900,8615
6794,565,Lake Sockeye,2008,NA,NA,NA
6910,565,Lake Sockeye,2009,NA,NA,NA
7026,565,Lake Sockeye,2010,NA,NA,NA
7142,565,Lake Sockeye,2011,NA,NA,NA
7258,565,Lake Sockeye,2012,NA,NA,NA
7374,565,Lake Sockeye,2013,NA,NA,NA
7490,565,Lake Sockeye,2014,2200,1100,2387
7606,565,Lake Sockeye,2015,3386,1693,3574
7722,565,Lake Sockeye,2016,NA,NA,NA
7838,565,Lake Sockeye,2017,1600,800,1618
7954,565,Lake Sockeye,2018,NA,NA,NA
8070,565,Lake Sockeye,2019,NA,NA,NA
67,566,Lake Sockeye,1950,NA,NA,NA
183,566,Lake Sockeye,1951,NA,NA,NA
299,566,Lake Sockeye,1952,NA,NA,NA
415,566,Lake Sockeye,1953,NA,NA,NA
531,566,Lake Sockeye,1954,NA,NA,NA
647,566,Lake Sockeye,1955,NA,NA,NA
763,566,Lake Sockeye,1956,NA,NA,NA
879,566,Lake Sockeye,1957,NA,NA,NA
995,566,Lake Sockeye,1958,NA,NA,NA
1111,566,Lake Sockeye,1959,NA,NA,NA
1227,566,Lake Sockeye,1960,NA,NA,NA
1343,566,Lake Sockeye,1961,NA,NA,NA
1459,566,Lake Sockeye,1962,NA,NA,NA
1575,566,Lake Sockeye,1963,NA,NA,NA
1691,566,Lake Sockeye,1964,NA,NA,NA
1807,566,Lake Sockeye,1965,NA,NA,NA
1923,566,Lake Sockeye,1966,NA,NA,NA
2039,566,Lake Sockeye,1967,NA,NA,NA
2155,566,Lake Sockeye,1968,NA,NA,NA
2271,566,Lake Sockeye,1969,NA,NA,NA
2387,566,Lake Sockeye,1970,NA,NA,NA
2503,566,Lake Sockeye,1971,NA,NA,NA
2619,566,Lake Sockeye,1972,NA,NA,NA
2735,566,Lake Sockeye,1973,NA,NA,NA
2851,566,Lake Sockeye,1974,NA,NA,NA
2967,566,Lake Sockeye,1975,NA,NA,NA
3083,566,Lake Sockeye,1976,NA,NA,NA
3199,566,Lake Sockeye,1977,NA,NA,NA
3315,566,Lake Sockeye,1978,NA,NA,NA
3431,566,Lake Sockeye,1979,NA,NA,NA
3547,566,Lake Sockeye,1980,NA,NA,NA
3663,566,Lake Sockeye,1981,NA,NA,NA
3779,566,Lake Sockeye,1982,NA,NA,NA
3895,566,Lake Sockeye,1983,NA,NA,NA
4011,566,Lake Sockeye,1984,NA,NA,NA
4127,566,Lake Sockeye,1985,NA,NA,NA
4243,566,Lake Sockeye,1986,NA,250,NA
4359,566,Lake Sockeye,1987,NA,500,NA
4475,566,Lake Sockeye,1988,NA,NA,NA
4591,566,Lake Sockeye,1989,NA,NA,NA
4707,566,Lake Sockeye,1990,NA,NA,NA
4823,566,Lake Sockeye,1991,NA,NA,NA
4939,566,Lake Sockeye,1992,NA,NA,NA
5055,566,Lake Sockeye,1993,NA,NA,NA
5171,566,Lake Sockeye,1994,NA,NA,NA
5287,566,Lake Sockeye,1995,NA,NA,NA
5403,566,Lake Sockeye,1996,NA,NA,NA
5519,566,Lake Sockeye,1997,NA,NA,NA
5635,566,Lake Sockeye,1998,NA,NA,NA
5751,566,Lake Sockeye,1999,NA,NA,NA
5867,566,Lake Sockeye,2000,NA,900,NA
5983,566,Lake Sockeye,2001,NA,500,NA
6099,566,Lake Sockeye,2002,NA,65,NA
6215,566,Lake Sockeye,2003,NA,NA,NA
6331,566,Lake Sockeye,2004,NA,550,NA
6447,566,Lake Sockeye,2005,NA,NA,NA
6563,566,Lake Sockeye,2006,NA,NA,NA
6679,566,Lake Sockeye,2007,NA,NA,NA
6795,566,Lake Sockeye,2008,NA,900,NA
6911,566,Lake Sockeye,2009,NA,NA,NA
7027,566,Lake Sockeye,2010,NA,1500,NA
7143,566,Lake Sockeye,2011,NA,700,NA
7259,566,Lake Sockeye,2012,NA,300,NA
7375,566,Lake Sockeye,2013,NA,NA,NA
7491,566,Lake Sockeye,2014,NA,NA,NA
7607,566,Lake Sockeye,2015,NA,NA,NA
7723,566,Lake Sockeye,2016,NA,NA,NA
7839,566,Lake Sockeye,2017,NA,NA,NA
7955,566,Lake Sockeye,2018,NA,NA,NA
8071,566,Lake Sockeye,2019,NA,NA,NA
68,567,Lake Sockeye,1950,NA,750,NA
184,567,Lake Sockeye,1951,NA,NA,NA
300,567,Lake Sockeye,1952,NA,NA,NA
416,567,Lake Sockeye,1953,NA,NA,NA
532,567,Lake Sockeye,1954,NA,NA,NA
648,567,Lake Sockeye,1955,NA,NA,NA
764,567,Lake Sockeye,1956,NA,NA,NA
880,567,Lake Sockeye,1957,NA,NA,NA
996,567,Lake Sockeye,1958,NA,NA,NA
1112,567,Lake Sockeye,1959,NA,NA,NA
1228,567,Lake Sockeye,1960,NA,NA,NA
1344,567,Lake Sockeye,1961,NA,NA,NA
1460,567,Lake Sockeye,1962,NA,750,NA
1576,567,Lake Sockeye,1963,NA,NA,NA
1692,567,Lake Sockeye,1964,NA,NA,NA
1808,567,Lake Sockeye,1965,NA,1500,NA
1924,567,Lake Sockeye,1966,NA,750,NA
2040,567,Lake Sockeye,1967,NA,750,NA
2156,567,Lake Sockeye,1968,NA,NA,NA
2272,567,Lake Sockeye,1969,NA,NA,NA
2388,567,Lake Sockeye,1970,NA,NA,NA
2504,567,Lake Sockeye,1971,NA,NA,NA
2620,567,Lake Sockeye,1972,NA,NA,NA
2736,567,Lake Sockeye,1973,NA,NA,NA
2852,567,Lake Sockeye,1974,NA,NA,NA
2968,567,Lake Sockeye,1975,NA,NA,NA
3084,567,Lake Sockeye,1976,NA,NA,NA
3200,567,Lake Sockeye,1977,NA,NA,NA
3316,567,Lake Sockeye,1978,NA,NA,NA
3432,567,Lake Sockeye,1979,NA,150,NA
3548,567,Lake Sockeye,1980,NA,NA,NA
3664,567,Lake Sockeye,1981,NA,NA,NA
3780,567,Lake Sockeye,1982,NA,NA,NA
3896,567,Lake Sockeye,1983,NA,NA,NA
4012,567,Lake Sockeye,1984,NA,NA,NA
4128,567,Lake Sockeye,1985,NA,NA,NA
4244,567,Lake Sockeye,1986,NA,NA,NA
4360,567,Lake Sockeye,1987,NA,NA,NA
4476,567,Lake Sockeye,1988,NA,NA,NA
4592,567,Lake Sockeye,1989,NA,NA,NA
4708,567,Lake Sockeye,1990,NA,NA,NA
4824,567,Lake Sockeye,1991,NA,50,NA
4940,567,Lake Sockeye,1992,NA,NA,NA
5056,567,Lake Sockeye,1993,NA,NA,NA
5172,567,Lake Sockeye,1994,NA,NA,NA
5288,567,Lake Sockeye,1995,NA,NA,NA
5404,567,Lake Sockeye,1996,NA,NA,NA
5520,567,Lake Sockeye,1997,NA,NA,NA
5636,567,Lake Sockeye,1998,NA,NA,NA
5752,567,Lake Sockeye,1999,NA,NA,NA
5868,567,Lake Sockeye,2000,NA,NA,NA
5984,567,Lake Sockeye,2001,NA,NA,NA
6100,567,Lake Sockeye,2002,NA,NA,NA
6216,567,Lake Sockeye,2003,NA,NA,NA
6332,567,Lake Sockeye,2004,NA,NA,NA
6448,567,Lake Sockeye,2005,NA,NA,NA
6564,567,Lake Sockeye,2006,NA,NA,NA
6680,567,Lake Sockeye,2007,NA,NA,NA
6796,567,Lake Sockeye,2008,NA,NA,NA
6912,567,Lake Sockeye,2009,NA,NA,NA
7028,567,Lake Sockeye,2010,NA,NA,NA
7144,567,Lake Sockeye,2011,NA,NA,NA
7260,567,Lake Sockeye,2012,NA,NA,NA
7376,567,Lake Sockeye,2013,NA,NA,NA
7492,567,Lake Sockeye,2014,NA,NA,NA
7608,567,Lake Sockeye,2015,NA,NA,NA
7724,567,Lake Sockeye,2016,NA,NA,NA
7840,567,Lake Sockeye,2017,NA,NA,NA
7956,567,Lake Sockeye,2018,NA,NA,NA
8072,567,Lake Sockeye,2019,NA,NA,NA
69,568,Lake Sockeye,1950,NA,400,NA
185,568,Lake Sockeye,1951,NA,NA,NA
301,568,Lake Sockeye,1952,NA,200,NA
417,568,Lake Sockeye,1953,NA,NA,NA
533,568,Lake Sockeye,1954,NA,NA,NA
649,568,Lake Sockeye,1955,NA,NA,NA
765,568,Lake Sockeye,1956,NA,NA,NA
881,568,Lake Sockeye,1957,NA,400,NA
997,568,Lake Sockeye,1958,NA,NA,NA
1113,568,Lake Sockeye,1959,NA,750,NA
1229,568,Lake Sockeye,1960,NA,NA,NA
1345,568,Lake Sockeye,1961,NA,400,NA
1461,568,Lake Sockeye,1962,NA,750,NA
1577,568,Lake Sockeye,1963,NA,1500,NA
1693,568,Lake Sockeye,1964,NA,750,NA
1809,568,Lake Sockeye,1965,NA,1500,NA
1925,568,Lake Sockeye,1966,NA,1500,NA
2041,568,Lake Sockeye,1967,NA,750,NA
2157,568,Lake Sockeye,1968,NA,1500,NA
2273,568,Lake Sockeye,1969,NA,400,NA
2389,568,Lake Sockeye,1970,NA,200,NA
2505,568,Lake Sockeye,1971,NA,200,NA
2621,568,Lake Sockeye,1972,NA,200,NA
2737,568,Lake Sockeye,1973,NA,200,NA
2853,568,Lake Sockeye,1974,NA,NA,NA
2969,568,Lake Sockeye,1975,NA,NA,NA
3085,568,Lake Sockeye,1976,NA,NA,NA
3201,568,Lake Sockeye,1977,NA,NA,NA
3317,568,Lake Sockeye,1978,NA,500,NA
3433,568,Lake Sockeye,1979,NA,200,NA
3549,568,Lake Sockeye,1980,NA,200,NA
3665,568,Lake Sockeye,1981,NA,100,NA
3781,568,Lake Sockeye,1982,NA,NA,NA
3897,568,Lake Sockeye,1983,NA,NA,NA
4013,568,Lake Sockeye,1984,NA,NA,NA
4129,568,Lake Sockeye,1985,NA,NA,NA
4245,568,Lake Sockeye,1986,NA,NA,NA
4361,568,Lake Sockeye,1987,NA,NA,NA
4477,568,Lake Sockeye,1988,NA,NA,NA
4593,568,Lake Sockeye,1989,NA,NA,NA
4709,568,Lake Sockeye,1990,NA,NA,NA
4825,568,Lake Sockeye,1991,NA,NA,NA
4941,568,Lake Sockeye,1992,NA,30,NA
5057,568,Lake Sockeye,1993,NA,NA,NA
5173,568,Lake Sockeye,1994,NA,NA,NA
5289,568,Lake Sockeye,1995,NA,NA,NA
5405,568,Lake Sockeye,1996,NA,NA,NA
5521,568,Lake Sockeye,1997,NA,NA,NA
5637,568,Lake Sockeye,1998,NA,NA,NA
5753,568,Lake Sockeye,1999,NA,NA,NA
5869,568,Lake Sockeye,2000,NA,NA,NA
5985,568,Lake Sockeye,2001,NA,NA,NA
6101,568,Lake Sockeye,2002,NA,NA,NA
6217,568,Lake Sockeye,2003,NA,NA,NA
6333,568,Lake Sockeye,2004,NA,NA,NA
6449,568,Lake Sockeye,2005,NA,NA,NA
6565,568,Lake Sockeye,2006,NA,NA,NA
6681,568,Lake Sockeye,2007,NA,NA,NA
6797,568,Lake Sockeye,2008,NA,NA,NA
6913,568,Lake Sockeye,2009,NA,NA,NA
7029,568,Lake Sockeye,2010,NA,NA,NA
7145,568,Lake Sockeye,2011,NA,NA,NA
7261,568,Lake Sockeye,2012,NA,NA,NA
7377,568,Lake Sockeye,2013,NA,NA,NA
7493,568,Lake Sockeye,2014,NA,NA,NA
7609,568,Lake Sockeye,2015,NA,NA,NA
7725,568,Lake Sockeye,2016,NA,NA,NA
7841,568,Lake Sockeye,2017,NA,NA,NA
7957,568,Lake Sockeye,2018,NA,NA,NA
8073,568,Lake Sockeye,2019,NA,NA,NA
70,569,Lake Sockeye,1950,NA,NA,NA
186,569,Lake Sockeye,1951,NA,NA,NA
302,569,Lake Sockeye,1952,NA,300,NA
418,569,Lake Sockeye,1953,NA,550,NA
534,569,Lake Sockeye,1954,NA,450,NA
650,569,Lake Sockeye,1955,NA,350,NA
766,569,Lake Sockeye,1956,NA,NA,NA
882,569,Lake Sockeye,1957,NA,NA,NA
998,569,Lake Sockeye,1958,NA,NA,NA
1114,569,Lake Sockeye,1959,NA,NA,NA
1230,569,Lake Sockeye,1960,NA,NA,NA
1346,569,Lake Sockeye,1961,NA,NA,NA
1462,569,Lake Sockeye,1962,NA,NA,NA
1578,569,Lake Sockeye,1963,NA,NA,NA
1694,569,Lake Sockeye,1964,NA,NA,NA
1810,569,Lake Sockeye,1965,NA,NA,NA
1926,569,Lake Sockeye,1966,NA,NA,NA
2042,569,Lake Sockeye,1967,NA,NA,NA
2158,569,Lake Sockeye,1968,NA,NA,NA
2274,569,Lake Sockeye,1969,NA,NA,NA
2390,569,Lake Sockeye,1970,NA,NA,NA
2506,569,Lake Sockeye,1971,NA,NA,NA
2622,569,Lake Sockeye,1972,NA,NA,NA
2738,569,Lake Sockeye,1973,NA,NA,NA
2854,569,Lake Sockeye,1974,NA,NA,NA
2970,569,Lake Sockeye,1975,NA,100,NA
3086,569,Lake Sockeye,1976,NA,NA,NA
3202,569,Lake Sockeye,1977,NA,NA,NA
3318,569,Lake Sockeye,1978,NA,NA,NA
3434,569,Lake Sockeye,1979,NA,NA,NA
3550,569,Lake Sockeye,1980,NA,NA,NA
3666,569,Lake Sockeye,1981,NA,NA,NA
3782,569,Lake Sockeye,1982,NA,NA,NA
3898,569,Lake Sockeye,1983,NA,60,NA
4014,569,Lake Sockeye,1984,NA,NA,NA
4130,569,Lake Sockeye,1985,NA,NA,NA
4246,569,Lake Sockeye,1986,NA,NA,NA
4362,569,Lake Sockeye,1987,NA,NA,NA
4478,569,Lake Sockeye,1988,NA,NA,NA
4594,569,Lake Sockeye,1989,NA,NA,NA
4710,569,Lake Sockeye,1990,NA,NA,NA
4826,569,Lake Sockeye,1991,NA,NA,NA
4942,569,Lake Sockeye,1992,NA,NA,NA
5058,569,Lake Sockeye,1993,NA,NA,NA
5174,569,Lake Sockeye,1994,NA,NA,NA
5290,569,Lake Sockeye,1995,NA,NA,NA
5406,569,Lake Sockeye,1996,NA,NA,NA
5522,569,Lake Sockeye,1997,NA,NA,NA
5638,569,Lake Sockeye,1998,NA,NA,NA
5754,569,Lake Sockeye,1999,NA,NA,NA
5870,569,Lake Sockeye,2000,NA,NA,NA
5986,569,Lake Sockeye,2001,NA,NA,NA
6102,569,Lake Sockeye,2002,NA,NA,NA
6218,569,Lake Sockeye,2003,NA,NA,NA
6334,569,Lake Sockeye,2004,NA,NA,NA
6450,569,Lake Sockeye,2005,NA,NA,NA
6566,569,Lake Sockeye,2006,NA,NA,NA
6682,569,Lake Sockeye,2007,NA,NA,NA
6798,569,Lake Sockeye,2008,NA,NA,NA
6914,569,Lake Sockeye,2009,NA,NA,NA
7030,569,Lake Sockeye,2010,NA,NA,NA
7146,569,Lake Sockeye,2011,NA,NA,NA
7262,569,Lake Sockeye,2012,NA,NA,NA
7378,569,Lake Sockeye,2013,NA,NA,NA
7494,569,Lake Sockeye,2014,NA,NA,NA
7610,569,Lake Sockeye,2015,NA,NA,NA
7726,569,Lake Sockeye,2016,NA,NA,NA
7842,569,Lake Sockeye,2017,NA,NA,NA
7958,569,Lake Sockeye,2018,NA,NA,NA
8074,569,Lake Sockeye,2019,NA,NA,NA
71,570,Lake Sockeye,1950,NA,NA,NA
187,570,Lake Sockeye,1951,NA,NA,NA
303,570,Lake Sockeye,1952,NA,NA,NA
419,570,Lake Sockeye,1953,NA,NA,NA
535,570,Lake Sockeye,1954,NA,NA,NA
651,570,Lake Sockeye,1955,NA,NA,NA
767,570,Lake Sockeye,1956,NA,NA,NA
883,570,Lake Sockeye,1957,NA,NA,NA
999,570,Lake Sockeye,1958,NA,NA,NA
1115,570,Lake Sockeye,1959,NA,NA,NA
1231,570,Lake Sockeye,1960,NA,NA,NA
1347,570,Lake Sockeye,1961,NA,NA,NA
1463,570,Lake Sockeye,1962,NA,NA,NA
1579,570,Lake Sockeye,1963,NA,NA,NA
1695,570,Lake Sockeye,1964,NA,NA,NA
1811,570,Lake Sockeye,1965,NA,NA,NA
1927,570,Lake Sockeye,1966,NA,NA,NA
2043,570,Lake Sockeye,1967,NA,NA,NA
2159,570,Lake Sockeye,1968,NA,NA,NA
2275,570,Lake Sockeye,1969,NA,NA,NA
2391,570,Lake Sockeye,1970,NA,NA,NA
2507,570,Lake Sockeye,1971,NA,NA,NA
2623,570,Lake Sockeye,1972,NA,NA,NA
2739,570,Lake Sockeye,1973,NA,NA,NA
2855,570,Lake Sockeye,1974,NA,NA,NA
2971,570,Lake Sockeye,1975,NA,50,NA
3087,570,Lake Sockeye,1976,NA,NA,NA
3203,570,Lake Sockeye,1977,NA,NA,NA
3319,570,Lake Sockeye,1978,NA,NA,NA
3435,570,Lake Sockeye,1979,NA,NA,NA
3551,570,Lake Sockeye,1980,NA,NA,NA
3667,570,Lake Sockeye,1981,NA,NA,NA
3783,570,Lake Sockeye,1982,NA,NA,NA
3899,570,Lake Sockeye,1983,NA,NA,NA
4015,570,Lake Sockeye,1984,NA,NA,NA
4131,570,Lake Sockeye,1985,NA,1,NA
4247,570,Lake Sockeye,1986,NA,NA,NA
4363,570,Lake Sockeye,1987,NA,1,NA
4479,570,Lake Sockeye,1988,NA,NA,NA
4595,570,Lake Sockeye,1989,NA,NA,NA
4711,570,Lake Sockeye,1990,NA,NA,NA
4827,570,Lake Sockeye,1991,NA,NA,NA
4943,570,Lake Sockeye,1992,NA,NA,NA
5059,570,Lake Sockeye,1993,NA,NA,NA
5175,570,Lake Sockeye,1994,NA,NA,NA
5291,570,Lake Sockeye,1995,NA,NA,NA
5407,570,Lake Sockeye,1996,NA,NA,NA
5523,570,Lake Sockeye,1997,NA,NA,NA
5639,570,Lake Sockeye,1998,NA,NA,NA
5755,570,Lake Sockeye,1999,NA,NA,NA
5871,570,Lake Sockeye,2000,NA,NA,NA
5987,570,Lake Sockeye,2001,NA,NA,NA
6103,570,Lake Sockeye,2002,NA,NA,NA
6219,570,Lake Sockeye,2003,NA,NA,NA
6335,570,Lake Sockeye,2004,NA,NA,NA
6451,570,Lake Sockeye,2005,NA,NA,NA
6567,570,Lake Sockeye,2006,NA,NA,NA
6683,570,Lake Sockeye,2007,NA,NA,NA
6799,570,Lake Sockeye,2008,NA,NA,NA
6915,570,Lake Sockeye,2009,NA,NA,NA
7031,570,Lake Sockeye,2010,NA,NA,NA
7147,570,Lake Sockeye,2011,NA,NA,NA
7263,570,Lake Sockeye,2012,NA,NA,NA
7379,570,Lake Sockeye,2013,NA,NA,NA
7495,570,Lake Sockeye,2014,NA,NA,NA
7611,570,Lake Sockeye,2015,NA,NA,NA
7727,570,Lake Sockeye,2016,NA,NA,NA
7843,570,Lake Sockeye,2017,NA,NA,NA
7959,570,Lake Sockeye,2018,NA,NA,NA
8075,570,Lake Sockeye,2019,NA,NA,NA
72,571,Lake Sockeye,1950,NA,3500,NA
188,571,Lake Sockeye,1951,NA,1500,NA
304,571,Lake Sockeye,1952,NA,1500,NA
420,571,Lake Sockeye,1953,NA,3500,NA
536,571,Lake Sockeye,1954,NA,3500,NA
652,571,Lake Sockeye,1955,NA,3500,NA
768,571,Lake Sockeye,1956,NA,1500,NA
884,571,Lake Sockeye,1957,NA,3500,NA
1000,571,Lake Sockeye,1958,NA,750,NA
1116,571,Lake Sockeye,1959,NA,750,NA
1232,571,Lake Sockeye,1960,NA,750,NA
1348,571,Lake Sockeye,1961,NA,400,NA
1464,571,Lake Sockeye,1962,NA,1500,NA
1580,571,Lake Sockeye,1963,NA,NA,NA
1696,571,Lake Sockeye,1964,NA,25,NA
1812,571,Lake Sockeye,1965,NA,NA,NA
1928,571,Lake Sockeye,1966,NA,NA,NA
2044,571,Lake Sockeye,1967,NA,400,NA
2160,571,Lake Sockeye,1968,NA,NA,NA
2276,571,Lake Sockeye,1969,NA,NA,NA
2392,571,Lake Sockeye,1970,NA,NA,NA
2508,571,Lake Sockeye,1971,NA,1200,NA
2624,571,Lake Sockeye,1972,NA,NA,NA
2740,571,Lake Sockeye,1973,NA,750,NA
2856,571,Lake Sockeye,1974,NA,NA,NA
2972,571,Lake Sockeye,1975,NA,NA,NA
3088,571,Lake Sockeye,1976,NA,200,NA
3204,571,Lake Sockeye,1977,NA,NA,NA
3320,571,Lake Sockeye,1978,NA,NA,NA
3436,571,Lake Sockeye,1979,NA,500,NA
3552,571,Lake Sockeye,1980,NA,200,NA
3668,571,Lake Sockeye,1981,NA,1000,NA
3784,571,Lake Sockeye,1982,NA,1000,NA
3900,571,Lake Sockeye,1983,NA,800,NA
4016,571,Lake Sockeye,1984,NA,2000,NA
4132,571,Lake Sockeye,1985,NA,1500,NA
4248,571,Lake Sockeye,1986,NA,97,NA
4364,571,Lake Sockeye,1987,NA,NA,NA
4480,571,Lake Sockeye,1988,NA,NA,NA
4596,571,Lake Sockeye,1989,NA,100,NA
4712,571,Lake Sockeye,1990,NA,NA,NA
4828,571,Lake Sockeye,1991,NA,NA,NA
4944,571,Lake Sockeye,1992,NA,120,NA
5060,571,Lake Sockeye,1993,NA,210,NA
5176,571,Lake Sockeye,1994,NA,NA,NA
5292,571,Lake Sockeye,1995,NA,NA,NA
5408,571,Lake Sockeye,1996,NA,NA,NA
5524,571,Lake Sockeye,1997,NA,NA,NA
5640,571,Lake Sockeye,1998,NA,NA,NA
5756,571,Lake Sockeye,1999,NA,100,NA
5872,571,Lake Sockeye,2000,NA,50,NA
5988,571,Lake Sockeye,2001,NA,NA,NA
6104,571,Lake Sockeye,2002,NA,NA,NA
6220,571,Lake Sockeye,2003,NA,NA,NA
6336,571,Lake Sockeye,2004,NA,NA,NA
6452,571,Lake Sockeye,2005,NA,NA,NA
6568,571,Lake Sockeye,2006,NA,NA,NA
6684,571,Lake Sockeye,2007,NA,NA,NA
6800,571,Lake Sockeye,2008,NA,200,NA
6916,571,Lake Sockeye,2009,NA,NA,NA
7032,571,Lake Sockeye,2010,NA,510,NA
7148,571,Lake Sockeye,2011,NA,400,NA
7264,571,Lake Sockeye,2012,NA,810,NA
7380,571,Lake Sockeye,2013,NA,NA,NA
7496,571,Lake Sockeye,2014,NA,NA,NA
7612,571,Lake Sockeye,2015,NA,NA,NA
7728,571,Lake Sockeye,2016,NA,350,NA
7844,571,Lake Sockeye,2017,NA,60,NA
7960,571,Lake Sockeye,2018,NA,50,NA
8076,571,Lake Sockeye,2019,NA,50,NA
73,572,Lake Sockeye,1950,NA,3500,NA
189,572,Lake Sockeye,1951,NA,1200,NA
305,572,Lake Sockeye,1952,NA,1500,NA
421,572,Lake Sockeye,1953,NA,2000,NA
537,572,Lake Sockeye,1954,3000,1500,5312
653,572,Lake Sockeye,1955,4000,2000,5417
769,572,Lake Sockeye,1956,7000,3500,10220
885,572,Lake Sockeye,1957,15000,7500,16677
1001,572,Lake Sockeye,1958,1500,750,8020
1117,572,Lake Sockeye,1959,7000,3500,9347
1233,572,Lake Sockeye,1960,3000,1500,5289
1349,572,Lake Sockeye,1961,1500,750,3203
1465,572,Lake Sockeye,1962,NA,NA,NA
1581,572,Lake Sockeye,1963,NA,NA,NA
1697,572,Lake Sockeye,1964,1500,750,6384
1813,572,Lake Sockeye,1965,1500,750,4175
1929,572,Lake Sockeye,1966,1500,750,3909
2045,572,Lake Sockeye,1967,3000,1500,9274
2161,572,Lake Sockeye,1968,1500,750,13326
2277,572,Lake Sockeye,1969,1500,750,2044
2393,572,Lake Sockeye,1970,3000,1500,6772
2509,572,Lake Sockeye,1971,7000,3500,10690
2625,572,Lake Sockeye,1972,7000,3500,12496
2741,572,Lake Sockeye,1973,6000,3000,11017
2857,572,Lake Sockeye,1974,5000,2500,8732
2973,572,Lake Sockeye,1975,7000,3500,17741
3089,572,Lake Sockeye,1976,18000,9000,50343
3205,572,Lake Sockeye,1977,7000,3500,13063
3321,572,Lake Sockeye,1978,600,300,1169
3437,572,Lake Sockeye,1979,28000,14000,89617
3553,572,Lake Sockeye,1980,5000,2500,15215
3669,572,Lake Sockeye,1981,10000,5000,23707
3785,572,Lake Sockeye,1982,4000,2000,6124
3901,572,Lake Sockeye,1983,NA,NA,NA
4017,572,Lake Sockeye,1984,4600,2300,5974
4133,572,Lake Sockeye,1985,3400,1700,6798
4249,572,Lake Sockeye,1986,5800,2900,17296
4365,572,Lake Sockeye,1987,5000,2500,16530
4481,572,Lake Sockeye,1988,5000,2500,13528
4597,572,Lake Sockeye,1989,2400,1200,4130
4713,572,Lake Sockeye,1990,NA,NA,NA
4829,572,Lake Sockeye,1991,1050,525,1785
4945,572,Lake Sockeye,1992,1200,600,2302
5061,572,Lake Sockeye,1993,500,250,1166
5177,572,Lake Sockeye,1994,2000,1000,8208
5293,572,Lake Sockeye,1995,NA,NA,NA
5409,572,Lake Sockeye,1996,600,300,719
5525,572,Lake Sockeye,1997,NA,NA,NA
5641,572,Lake Sockeye,1998,NA,NA,NA
5757,572,Lake Sockeye,1999,2400,1200,2580
5873,572,Lake Sockeye,2000,2000,1000,2106
5989,572,Lake Sockeye,2001,2000,1000,2052
6105,572,Lake Sockeye,2002,4000,2000,4153
6221,572,Lake Sockeye,2003,4000,2000,5278
6337,572,Lake Sockeye,2004,4000,2000,4253
6453,572,Lake Sockeye,2005,2000,1000,2103
6569,572,Lake Sockeye,2006,4000,2000,4181
6685,572,Lake Sockeye,2007,NA,NA,NA
6801,572,Lake Sockeye,2008,NA,NA,NA
6917,572,Lake Sockeye,2009,3400,1700,3633
7033,572,Lake Sockeye,2010,NA,NA,NA
7149,572,Lake Sockeye,2011,NA,NA,NA
7265,572,Lake Sockeye,2012,9600,4800,9752
7381,572,Lake Sockeye,2013,NA,NA,NA
7497,572,Lake Sockeye,2014,NA,NA,NA
7613,572,Lake Sockeye,2015,NA,NA,NA
7729,572,Lake Sockeye,2016,NA,NA,NA
7845,572,Lake Sockeye,2017,21940,10970,22301
7961,572,Lake Sockeye,2018,NA,5830,NA
8077,572,Lake Sockeye,2019,NA,7350,NA
74,573,Lake Sockeye,1950,NA,750,NA
190,573,Lake Sockeye,1951,NA,1130,NA
306,573,Lake Sockeye,1952,NA,1478,NA
422,573,Lake Sockeye,1953,NA,1500,NA
538,573,Lake Sockeye,1954,NA,3500,NA
654,573,Lake Sockeye,1955,NA,1500,NA
770,573,Lake Sockeye,1956,NA,1500,NA
886,573,Lake Sockeye,1957,NA,3500,NA
1002,573,Lake Sockeye,1958,NA,200,NA
1118,573,Lake Sockeye,1959,NA,7500,NA
1234,573,Lake Sockeye,1960,7000,3500,8398
1350,573,Lake Sockeye,1961,7000,3500,8307
1466,573,Lake Sockeye,1962,7000,3500,8453
1582,573,Lake Sockeye,1963,30000,15000,33539
1698,573,Lake Sockeye,1964,7000,3500,8396
1814,573,Lake Sockeye,1965,7000,3500,8152
1930,573,Lake Sockeye,1966,7000,3500,8706
2046,573,Lake Sockeye,1967,7000,3500,8919
2162,573,Lake Sockeye,1968,15000,7500,18527
2278,573,Lake Sockeye,1969,3000,1500,3556
2394,573,Lake Sockeye,1970,800,400,950
2510,573,Lake Sockeye,1971,3000,1500,3618
2626,573,Lake Sockeye,1972,1500,750,1818
2742,573,Lake Sockeye,1973,3000,1500,3728
2858,573,Lake Sockeye,1974,1500,750,1902
2974,573,Lake Sockeye,1975,NA,NA,NA
3090,573,Lake Sockeye,1976,NA,NA,NA
3206,573,Lake Sockeye,1977,NA,NA,NA
3322,573,Lake Sockeye,1978,1000,500,1231
3438,573,Lake Sockeye,1979,NA,NA,NA
3554,573,Lake Sockeye,1980,1000,500,1227
3670,573,Lake Sockeye,1981,1400,700,1705
3786,573,Lake Sockeye,1982,NA,NA,NA
3902,573,Lake Sockeye,1983,1000,500,1079
4018,573,Lake Sockeye,1984,1000,500,1146
4134,573,Lake Sockeye,1985,5000,2500,6323
4250,573,Lake Sockeye,1986,1000,500,1210
4366,573,Lake Sockeye,1987,9000,4500,9859
4482,573,Lake Sockeye,1988,9200,4600,13301
